City,Country,Latitude,Longitude,MaxTemp,Humidity,Clouds,WindSpeed,Date
Bela,IN,25.93,81.98,27.82,83,100,1.91,1596065692
Santa Maria,BR,-29.68,-53.81,7.0,75,0,2.1,1596065692
Rikitea,PF,-23.12,-134.97,22.94,84,74,6.56,1596065466
Laas,IT,46.62,10.7,16.0,93,40,1.5,1596065692
Khudumelapye,BW,-23.88,24.75,8.76,53,0,1.68,1596065693
San Patricio,MX,19.22,-104.7,30.0,74,90,1.53,1596065693
Mataura,NZ,-46.19,168.86,11.99,74,100,1.43,1596065693
Aklavik,CA,68.22,-135.01,15.0,72,75,3.1,1596065693
Cururupu,BR,-1.83,-44.87,23.68,94,5,0.96,1596065694
Draguignan,FR,43.53,6.47,24.0,88,0,1.0,1596065694
Canto do Buriti,BR,-8.11,-42.94,23.66,55,0,2.73,1596065694
Vaini,TO,-21.2,-175.2,22.0,78,75,8.7,1596065452
Kapaa,US,22.08,-159.32,28.0,69,20,8.2,1596065472
Matara,LK,5.95,80.54,25.21,90,81,4.98,1596065695
Albany,US,42.6,-73.97,23.33,72,28,2.5,1596065605
Dickinson,US,29.46,-95.05,29.44,74,75,4.97,1596065696
Krasnosel'kup,RU,65.7,82.47,14.14,62,64,2.52,1596065696
Athabasca,CA,54.72,-113.29,26.33,59,50,1.23,1596065484
Hermanus,ZA,-34.42,19.23,13.89,81,23,3.84,1596065442
Thompson,CA,55.74,-97.86,24.0,57,20,2.1,1596065444
São Filipe,CV,14.9,-24.5,25.24,87,59,2.89,1596065456
Luanda,AO,-8.84,13.23,20.0,88,32,2.6,1596065697
Puerto Ayora,EC,-0.74,-90.35,20.0,89,73,1.34,1596065697
Tuktoyaktuk,CA,69.45,-133.04,12.0,76,75,4.1,1596065604
Avarua,CK,-21.21,-159.78,22.0,78,36,4.6,1596065698
Talnakh,RU,69.49,88.4,14.0,71,60,4.0,1596065698
Ribeira Grande,PT,38.52,-28.7,23.46,91,23,9.85,1596065698
Hong Kong,HK,22.29,114.16,29.44,92,100,6.59,1596065613
Fairbanks,US,64.84,-147.72,20.0,55,1,3.1,1596065476
Kavaratti,IN,10.57,72.64,27.92,78,100,7.22,1596065699
Ushuaia,AR,-54.8,-68.3,3.0,74,40,9.3,1596065414
Pevek,RU,69.7,170.31,2.89,93,100,2.15,1596065529
Port Alfred,ZA,-33.59,26.89,14.7,68,0,8.41,1596065700
Van,TR,38.49,43.38,17.0,59,0,1.5,1596065489
Cape Town,ZA,-33.93,18.42,13.33,100,40,3.1,1596065700
Libertador General San Martín,AR,-23.81,-64.79,10.56,58,0,1.83,1596065701
New Norfolk,AU,-42.78,147.06,10.0,78,16,0.45,1596065701
Lebu,CL,-37.62,-73.65,7.09,74,100,1.53,1596065444
Provideniya,RU,64.38,-173.3,10.0,87,90,4.0,1596065451
Santa Isabel Rio Negro,BR,-0.41,-65.02,24.81,83,11,1.24,1596065702
Nouadhibou,MR,20.93,-17.03,22.0,83,12,6.7,1596065702
Saskylakh,RU,71.92,114.08,13.27,63,0,1.66,1596065702
Narsaq,GL,60.92,-46.05,12.0,71,28,2.6,1596065702
Viedma,AR,-40.81,-63.0,6.5,61,84,4.37,1596065614
Tasiilaq,GL,65.61,-37.64,7.0,70,68,4.1,1596065435
Fairlie,GB,55.76,-4.86,10.0,87,77,1.0,1596065703
Norman Wells,CA,65.28,-126.83,19.0,68,75,5.7,1596065454
Tombouctou,ML,20.0,-3.0,35.63,30,54,3.66,1596065704
Tomatlán,MX,19.93,-105.25,27.94,81,92,2.16,1596065704
Kahului,US,20.89,-156.47,32.0,43,20,10.3,1596065685
Umm Kaddadah,SD,13.6,26.69,26.04,67,87,7.25,1596065705
Yining,CN,29.04,114.56,27.03,86,95,0.3,1596065705
Kāzerūn,IR,29.62,51.65,32.22,16,2,2.97,1596065706
Jamestown,US,42.1,-79.24,24.44,78,75,2.6,1596065706
Saldanha,ZA,-33.01,17.94,8.0,87,0,1.0,1596065534
Barrow,US,71.29,-156.79,8.0,75,1,11.3,1596065464
Airai,TL,-8.93,125.41,17.55,42,49,1.84,1596065473
Tilaran,CR,10.47,-84.97,29.0,79,75,2.6,1596065707
Tianjin,CN,39.14,117.18,28.0,65,13,3.0,1596065707
Jacareacanga,BR,-6.22,-57.75,24.57,43,8,0.75,1596065707
Punta Arenas,CL,-53.15,-70.92,4.0,80,98,4.6,1596065451
Bredasdorp,ZA,-34.53,20.04,14.0,76,9,5.1,1596065708
Paita,PE,-5.09,-81.11,17.08,81,0,6.21,1596065545
Akureyri,IS,65.68,-18.09,10.0,81,67,1.0,1596065709
Castro,BR,-24.79,-50.01,11.53,97,100,3.93,1596065450
Bukachacha,RU,52.98,116.92,20.86,85,83,1.08,1596065709
Arraial do Cabo,BR,-22.97,-42.03,22.0,78,40,5.1,1596065709
Ilulissat,GL,69.22,-51.1,7.0,75,9,1.5,1596065544
Chokurdakh,RU,70.63,147.92,8.64,58,75,4.02,1596065443
Tazovsky,RU,67.47,78.7,11.47,73,62,3.37,1596065546
Dikson,RU,73.51,80.55,9.51,77,62,2.77,1596065710
Cobija,BO,-11.03,-68.77,25.46,58,63,2.61,1596065710
Rādhanpur,IN,23.83,71.6,29.64,74,68,3.05,1596065711
Kamalganj,IN,27.27,79.65,26.92,87,92,1.06,1596065711
Bengkulu,ID,-3.8,102.27,23.27,88,71,1.74,1596065459
Casablanca,MA,33.59,-7.62,22.78,94,40,2.6,1596065577
Karratha,AU,-20.74,116.85,19.74,28,0,5.64,1596065627
Pamanukan,ID,-6.28,107.81,22.9,66,59,2.91,1596065505
Macas,EC,-2.32,-78.12,18.0,93,75,1.0,1596065712
Lavrentiya,RU,65.58,-171.0,9.14,85,95,4.38,1596065712
Hobart,AU,-42.88,147.33,10.0,61,20,3.1,1596065690
Tuatapere,NZ,-46.13,167.68,12.53,70,100,3.57,1596065470
Hue,VN,16.47,107.6,27.0,83,20,1.0,1596065713
Lashio,MM,22.93,97.75,20.36,99,100,0.26,1596065713
Corinth,GR,37.94,22.96,27.22,34,0,0.89,1596065714
Carbonia,IT,39.17,8.52,26.0,88,0,2.6,1596065627
Deputatsky,RU,69.3,139.9,7.05,64,62,3.82,1596065465
Geraldton,AU,-28.77,114.6,9.0,81,0,3.6,1596065443
Henties Bay,NA,-22.12,14.28,13.33,90,0,3.15,1596065488
Isangel,VU,-19.55,169.27,25.61,70,63,6.31,1596065498
Poum,NC,-20.23,164.02,23.19,88,30,9.96,1596065715
Slave Lake,CA,55.28,-114.77,22.0,78,90,1.5,1596065550
Haines Junction,CA,60.75,-137.51,23.72,40,32,0.86,1596065715
Raudeberg,NO,61.99,5.14,14.0,82,91,6.7,1596065491
Coyhaique,CL,-45.58,-72.07,2.0,74,99,2.6,1596065595
Tiksi,RU,71.69,128.87,4.44,86,100,3.78,1596065716
Busselton,AU,-33.65,115.33,7.78,96,82,2.59,1596065716
São João da Barra,BR,-21.64,-41.05,21.69,87,8,5.22,1596065482
Sungai Raya,ID,0.7,108.9,24.91,89,92,4.49,1596065717
Ponta do Sol,PT,32.67,-17.1,22.0,60,40,3.6,1596065485
Irpa Irpa,BO,-17.72,-66.27,17.0,39,0,1.5,1596065718
Kaitangata,NZ,-46.28,169.85,12.78,73,100,0.89,1596065718
Dārayyā,SY,33.46,36.24,25.0,57,0,2.1,1596065718
Lagoa,PT,39.05,-27.98,23.23,91,12,11.99,1596065719
Phalodi,IN,27.13,72.37,30.96,64,71,5.92,1596065484
Napuro,PH,12.03,124.71,27.39,84,81,1.82,1596065719
Cockburn Town,TC,21.46,-71.14,28.21,80,4,10.64,1596065719
Mount Gambier,AU,-37.83,140.77,6.0,100,90,1.59,1596065494
Hamilton,US,39.18,-84.53,31.67,48,1,3.1,1596065616
Warmbad,NA,-28.45,18.73,11.18,47,0,0.49,1596065720
Hilo,US,19.73,-155.09,29.0,51,1,4.1,1596065452
Paidha,UG,2.42,30.99,15.15,91,3,1.99,1596065721
Butaritari,KI,3.07,172.79,28.29,74,25,7.78,1596065441
Korla,CN,41.76,86.15,27.78,68,96,1.34,1596065469
Saint-Pierre,RE,-21.34,55.48,19.0,82,33,3.1,1596065436
Lucapa,AO,-8.42,20.74,17.9,29,1,1.58,1596065721
Buala,SB,-8.14,159.59,30.02,62,52,0.96,1596065633
Alta Floresta,BR,-9.88,-56.09,24.2,37,1,1.94,1596065722
Teguise,ES,29.06,-13.56,23.0,69,75,8.2,1596065722
Adelaide,AU,-34.93,138.6,11.67,93,90,3.1,1596065723
Vallenar,CL,-28.57,-70.76,18.2,30,71,1.51,1596065598
Barberino di Mugello,IT,44.0,11.24,24.0,69,0,2.1,1596065723
Svetlaya,RU,46.54,138.33,26.05,68,0,2.2,1596065625
Souillac,MU,-20.52,57.52,21.0,83,75,3.6,1596065453
Mandera,KE,3.94,41.87,25.66,66,0,6.5,1596065724
Dingle,PH,11.0,122.67,27.67,82,73,4.41,1596065724
Kavieng,PG,-2.57,150.8,28.85,68,6,2.57,1596065449
Zdvinsk,RU,54.7,78.66,9.86,89,0,4.23,1596065725
Tateyama,JP,34.98,139.87,22.78,88,75,4.6,1596065725
Broome,US,42.25,-75.83,21.11,100,90,1.5,1596065466
Kiunga,PG,-6.12,141.29,24.92,90,91,2.09,1596065725
Shibetsu,JP,43.66,145.13,21.48,77,14,3.29,1596065726
Terenos,BR,-20.44,-54.86,15.0,77,0,6.7,1596065726
Dzilam González,MX,21.28,-88.93,30.4,60,4,3.84,1596065726
Kawasaki,JP,35.52,139.72,23.89,88,75,4.6,1596065555
Nishihara,JP,26.18,127.76,30.0,83,75,7.2,1596065499
Kharitonovo,RU,61.4,47.5,13.38,96,97,1.97,1596065727
Balakirevo,RU,56.51,38.84,17.2,97,100,3.04,1596065727
Nikolskoye,RU,59.7,30.79,14.0,82,40,3.0,1596065728
Ondjiva,AO,-17.07,15.73,13.09,37,0,2.76,1596065728
Nyaunglebin,MM,17.95,96.73,24.69,89,90,0.8,1596065728
Tarija,BO,-21.54,-64.73,6.09,61,12,0.61,1596065728
Rio Grande,BR,-32.03,-52.1,2.78,94,0,2.27,1596065729
Zachary,US,30.65,-91.16,29.44,79,1,1.5,1596065729
Atuona,PF,-9.8,-139.03,26.02,75,6,8.86,1596065729
Chuncheng,CN,22.17,111.79,28.77,77,82,0.93,1596065729
Russell,US,32.35,-85.2,27.0,83,75,4.6,1596065440
Kiiu,EE,59.45,25.38,12.78,93,0,3.1,1596065730
Arica,CL,-18.48,-70.3,15.0,77,90,3.1,1596065730
Ambon City,ID,-3.7,128.18,26.11,88,75,3.6,1596065730
Chui,UY,-33.7,-53.46,5.86,83,0,1.27,1596065440
Saint-Philippe,RE,-21.36,55.77,19.0,82,6,3.1,1596065731
Shingū,JP,33.73,135.98,28.0,78,75,1.5,1596065460
Boyabat,TR,41.47,34.77,18.81,77,33,1.16,1596065732
Saint George,US,37.1,-113.58,41.11,6,1,5.7,1596065575
Florianópolis,BR,-27.61,-48.5,12.0,54,84,6.7,1596065732
Yellowknife,CA,62.46,-114.35,23.0,46,40,4.6,1596065435
Neuquén,AR,-38.95,-68.06,6.0,81,43,2.28,1596065733
Sembakung,ID,3.82,117.25,24.75,95,100,1.06,1596065733
Alofi,NU,-19.06,-169.92,24.0,64,75,7.2,1596065733
Carnarvon,AU,-24.87,113.63,9.0,100,0,3.1,1596065483
Vanimo,PG,-2.67,141.3,29.03,67,9,2.91,1596065734
Saint Anthony,US,45.02,-93.22,28.0,44,1,3.6,1596065734
Darnétal,FR,49.45,1.15,15.0,72,6,2.1,1596065734
Grand Gaube,MU,-20.01,57.66,21.11,78,36,1.79,1596065626
Gijang,KR,35.24,129.21,25.0,94,90,2.1,1596065535
Mar del Plata,AR,-38.0,-57.56,9.44,87,0,1.5,1596065443
Rafai,CF,4.95,23.92,19.38,97,98,0.66,1596065735
Cidreira,BR,-30.18,-50.21,7.96,75,7,1.28,1596065589
Coihueco,CL,-36.62,-71.83,5.0,93,99,1.5,1596065736
George Town,MY,5.41,100.34,27.0,88,40,1.0,1596065461
Praia,CV,14.92,-23.51,27.0,78,40,4.6,1596065447
Khatanga,RU,71.97,102.5,16.71,57,100,5.97,1596065453
Najrān,SA,17.49,44.13,26.0,57,40,3.1,1596065736
Hithadhoo,MV,-0.6,73.08,27.93,81,67,6.37,1596065445
Kukuna,SL,9.4,-12.67,22.68,96,100,2.4,1596065737
Boma,GH,7.08,-2.17,21.31,95,40,1.65,1596065737
Goundam,ML,16.41,-3.67,33.2,41,10,1.85,1596065738
Bluff,NZ,-46.6,168.33,12.39,70,100,5.72,1596065604
Tommot,RU,58.96,126.29,14.67,90,100,3.06,1596065738
Baruun-Urt,MN,46.68,113.28,17.36,81,100,2.95,1596065739
Lata,PT,40.16,-8.33,22.22,96,0,0.84,1596065463
Hasaki,JP,35.73,140.83,21.11,94,75,4.1,1596065479
Maroua,CM,10.59,14.32,24.01,86,99,6.58,1596065739
Okhotsk,RU,59.38,143.3,13.24,84,99,7.16,1596065740
Olafsvik,IS,64.89,-23.71,10.55,83,87,2.65,1596065740
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,22.0,53,95,3.0,1596065446
Newport,GB,51.59,-3.0,16.11,83,99,1.78,1596065740
Āsosa,ET,10.07,34.53,15.83,96,96,0.91,1596065741
Torbay,CA,47.67,-52.73,12.78,100,90,3.1,1596065741
Strezhevoy,RU,60.73,77.59,8.0,93,92,1.0,1596065741
Manaure,CO,11.78,-72.44,28.14,76,90,9.17,1596065741
Pasni,PK,25.26,63.47,28.76,86,86,3.14,1596065741
Palembang,ID,-2.92,104.75,24.0,94,20,0.5,1596065742
East London,ZA,-33.02,27.91,15.22,69,0,4.89,1596065451
Havre-St-Pierre,CA,50.23,-63.6,15.0,93,90,5.1,1596065649
Nanortalik,GL,60.14,-45.24,8.0,90,55,3.1,1596065743
Aracaju,BR,-10.91,-37.07,26.0,65,75,5.1,1596065590
Gazojak,TM,41.19,61.4,23.31,22,18,4.93,1596065743
Liverpool,GB,53.41,-2.98,15.0,82,75,2.1,1596065483
Cherskiy,RU,68.75,161.3,9.48,61,15,7.81,1596065744
Yerofey Pavlovich,RU,53.97,121.97,22.61,81,51,1.8,1596065744
Oktyabr'skoye,RU,43.06,44.74,19.0,93,100,0.63,1596065744
Saint Paul Harbor,US,57.79,-152.41,20.0,56,1,4.6,1596065744
Namie,JP,37.48,141.0,22.78,97,90,2.97,1596065491
Soavinandriana,MG,-19.17,46.73,12.85,100,49,1.48,1596065745
Altay,CN,47.87,88.12,18.0,49,90,1.09,1596065745
Vardø,NO,70.37,31.11,11.79,88,12,9.02,1596065476
Guerrero Negro,MX,27.98,-114.06,24.78,59,2,7.61,1596065746
Katsuura,JP,35.13,140.3,22.22,84,98,1.34,1596065746
Vao,NC,-22.67,167.48,22.36,84,75,11.55,1596065448
Ancud,CL,-41.87,-73.82,6.67,93,99,1.0,1596065465
Mitsamiouli,KM,-11.38,43.28,25.0,82,75,5.38,1596065747
La Ronge,CA,55.1,-105.28,30.0,42,75,3.6,1596065747
Zhangjiakou Shi Xuanhua Qu,CN,40.61,115.04,25.16,64,70,2.23,1596065747
Mossamedes,AO,-15.2,12.15,16.75,82,57,3.18,1596065748
Craig,US,40.52,-107.55,31.0,16,20,7.7,1596065748
Faanui,PF,-16.48,-151.75,26.41,78,100,8.13,1596065748
Klaksvík,FO,62.23,-6.59,8.0,87,96,4.6,1596065749
Makurdi,NG,7.74,8.51,22.96,93,1,2.12,1596065749
Arrondissement de Bastia,FR,42.67,9.33,25.56,88,0,1.5,1596065749
Te Anau,NZ,-45.42,167.72,11.12,80,100,1.82,1596065474
Köping,SE,59.51,15.99,14.0,87,58,1.5,1596065750
Whitehorse,CA,60.72,-135.05,18.33,63,75,2.6,1596065750
Padang,ID,-0.95,100.35,25.47,71,99,1.8,1596065536
Mehamn,NO,71.04,27.85,11.47,84,0,7.67,1596065750
Rio de Janeiro,BR,-22.9,-43.21,22.78,78,75,4.1,1596065583
Tauá,BR,-5.97,-40.3,25.99,50,62,5.46,1596065751
Āsasa,ET,7.1,39.2,12.48,86,80,2.04,1596065751
Carutapera,BR,-1.2,-46.02,24.71,88,0,1.95,1596065457
Codrington,AU,-38.27,141.97,9.48,85,63,2.5,1596065751
Muros,ES,42.78,-9.06,22.78,78,0,0.45,1596065520
Martapura,ID,-3.42,114.85,22.0,100,29,1.0,1596065558
Onguday,RU,50.75,86.15,11.43,80,45,1.15,1596065752
Yulara,AU,-25.24,130.99,10.0,37,0,4.1,1596065752
Husavik,IS,66.04,-17.34,10.0,81,81,1.0,1596065477
Mayo,US,38.89,-76.51,32.0,43,1,3.6,1596065753
Port Elizabeth,ZA,-33.92,25.57,15.0,72,2,4.1,1596065753
Salalah,OM,17.02,54.09,27.0,100,75,3.1,1596065497
Esperance,AU,-33.87,121.9,8.0,87,0,7.2,1596065579
Zliv,CZ,49.07,14.37,15.0,74,0,0.86,1596065754
Upernavik,GL,72.79,-56.15,6.04,88,40,2.69,1596065754
Bethel,US,41.37,-73.41,31.11,62,1,3.6,1596065481
Otradnoye,RU,59.78,30.82,14.0,82,40,3.0,1596065755
Ghorāwal,IN,24.77,82.78,26.88,81,100,1.89,1596065755
Severo-Kuril'sk,RU,50.68,156.12,13.79,79,97,6.18,1596065478
Auki,SB,-8.77,160.7,29.54,66,87,1.18,1596065755
Makassar,ID,-5.14,119.42,21.0,100,20,0.5,1596065583
Poggibonsi,IT,43.47,11.15,25.56,53,0,0.96,1596065756
Sitka,US,57.05,-135.33,19.0,63,1,2.1,1596065756
Bambous Virieux,MU,-20.34,57.76,21.11,83,75,3.6,1596065756
Plast,RU,54.37,60.81,13.78,90,55,3.21,1596065757
Katangli,RU,51.71,143.23,23.63,73,38,7.84,1596065757
Mombasa,KE,-4.05,39.66,23.88,86,29,5.52,1596065403
Soyo,AO,-6.13,12.37,22.07,83,47,3.62,1596065757
Ketchikan,US,55.34,-131.65,21.0,56,1,8.2,1596065758
Mbandaka,CD,0.05,18.26,21.36,90,92,1.3,1596065758
Cabo San Lucas,MX,22.89,-109.91,32.0,61,40,5.7,1596065516
Alyangula,AU,-13.85,136.42,21.0,60,0,1.5,1596065489
Port Hedland,AU,-20.32,118.57,12.0,31,0,2.1,1596065461
Redcliffe,AU,-27.23,153.1,19.44,52,20,5.7,1596065759
Qaanaaq,GL,77.48,-69.36,5.88,68,1,0.92,1596065759
Mvuma,ZW,-19.28,30.53,9.57,74,0,1.42,1596065644
Mount Isa,AU,-20.73,139.5,18.0,34,0,5.1,1596065760
Barcelona,ES,41.39,2.16,25.56,78,20,1.0,1596065549
Aden,YE,12.78,45.04,30.82,76,14,6.87,1596065703
Millville,US,39.4,-75.04,30.0,51,1,2.32,1596065760
Libona,PH,8.34,124.74,24.44,91,100,2.68,1596065761
Bolobo,CD,-2.17,16.23,25.83,54,100,0.86,1596065761
Stokmarknes,NO,68.56,14.91,18.33,65,86,1.79,1596065761
Ojinaga,MX,29.57,-104.42,39.0,17,1,3.1,1596065761
Ahipara,NZ,-35.17,173.17,15.11,77,100,5.65,1596065762
Charters Towers,AU,-20.1,146.27,19.44,46,0,6.38,1596065762
San Giustino,IT,43.55,12.17,28.0,39,0,4.1,1596065762
Kalemie,CD,-5.95,29.19,20.53,57,0,0.61,1596065763
Hualmay,PE,-11.1,-77.61,15.53,82,6,3.44,1596065495
Abu Samrah,SY,35.3,37.18,26.0,32,0,2.18,1596065763
Manoel Urbano,BR,-8.84,-69.26,25.45,65,46,1.13,1596065764
Porto Velho,BR,-8.76,-63.9,31.0,45,20,1.5,1596065722
Avera,US,33.19,-82.53,30.0,66,40,5.1,1596065765
Pisco,PE,-13.7,-76.22,17.0,77,6,3.6,1596065656
Yar-Sale,RU,66.83,70.83,10.44,80,73,2.66,1596065765
Filingué,NE,14.35,3.32,32.9,40,33,4.61,1596065766
Birjand,IR,32.87,59.22,21.0,32,0,2.1,1596065766
Fortuna,US,40.6,-124.16,20.0,76,22,1.79,1596065766
Waingapu,ID,-9.66,120.26,24.51,70,1,5.68,1596065767
Batemans Bay,AU,-35.72,150.18,13.33,100,1,1.24,1596065612
Tres Picos,MX,15.87,-93.53,28.94,72,69,1.86,1596065767
Rocha,UY,-34.48,-54.33,4.07,84,0,0.38,1596065471
Mezen',RU,65.85,44.24,11.58,68,1,4.57,1596065506
Port Macquarie,AU,-31.43,152.92,16.67,73,16,1.79,1596065492
Kruisfontein,ZA,-34.0,24.73,11.78,82,0,6.31,1596065768
Vila Velha,BR,-20.33,-40.29,24.44,83,20,0.5,1596065768
Am Timan,TD,11.03,20.28,21.53,95,99,2.85,1596065769
Buin,CL,-33.73,-70.75,20.0,38,0,1.5,1596065769
Kathu,TH,7.92,98.33,29.44,100,75,1.94,1596065769
Broken Hill,AU,-31.95,141.43,10.0,87,90,5.1,1596065770
Esim,GH,4.87,-2.24,23.49,88,89,3.35,1596065770
Todos Santos,MX,23.45,-110.22,23.89,83,81,2.37,1596065770
Santa Cruz de Tenerife,ES,28.47,-16.25,18.89,88,90,8.7,1596065770
Honningsvåg,NO,70.98,25.97,13.3,80,1,5.16,1596065771
Kyshtovka,RU,56.55,76.63,8.27,95,0,2.89,1596065771
Les Ponts-de-Cé,FR,47.42,-0.52,16.67,71,2,0.5,1596065771
Kangaatsiaq,GL,68.31,-53.46,6.28,83,79,4.93,1596065771
Necochea,AR,-38.55,-58.74,3.89,90,15,0.89,1596065698
Huarmey,PE,-10.07,-78.15,15.69,82,3,3.24,1596065772
Mwense,ZM,-10.38,28.7,15.46,55,0,2.28,1596065772
Ranong,TH,9.97,98.63,25.0,94,75,2.33,1596065773
Palimbang,PH,6.21,124.19,26.28,82,100,1.91,1596065773
Asău,RO,46.43,26.4,18.89,83,4,1.54,1596065773
Menongue,AO,-14.66,17.69,10.14,46,8,1.82,1596065774
Black Diamond,US,47.31,-122.0,30.56,43,0,2.56,1596065774
Port Hardy,CA,50.7,-127.42,20.0,56,75,4.6,1596065774
Aktau,KZ,43.65,51.2,17.0,88,2,2.0,1596065574
São Gabriel da Cachoeira,BR,-0.13,-67.09,27.0,74,40,3.1,1596065775
Anadyr,RU,64.75,177.48,13.0,87,75,1.0,1596065491
Ngorongoro,TZ,-3.24,35.49,9.4,100,41,3.44,1596065776
Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,22.67,73,45,6.5,1596065776
Hokitika,NZ,-42.72,170.97,13.16,69,88,2.11,1596065776
Buluang,PH,13.31,123.34,26.42,87,100,2.5,1596065776
Jiaojiang,CN,28.68,121.44,29.44,90,5,0.45,1596065777
Steamboat Springs,US,40.48,-106.83,28.89,21,1,9.3,1596065584
Ngunguru,NZ,-35.62,174.5,15.56,3,100,4.47,1596065643
Urubichá,BO,-15.38,-62.95,18.38,36,0,2.7,1596065777
Tak Bai,TH,6.26,102.05,24.0,94,20,1.5,1596065778
Lumeje,AO,-11.55,20.78,13.83,38,3,2.3,1596065778
Kirkwall,GB,58.98,-2.96,11.11,81,95,4.6,1596065726
College,US,64.86,-147.8,20.0,52,75,3.6,1596065778
Arman',RU,59.7,150.17,17.15,39,35,8.43,1596065779
Paramonga,PE,-10.67,-77.83,15.04,85,9,2.95,1596065779
Gizo Government Station,SB,-8.1,156.84,28.92,74,9,4.85,1596065779
The Pas,CA,53.83,-101.25,26.0,54,1,3.6,1596065779
Mahibadhoo,MV,3.78,72.97,28.45,76,98,7.11,1596065780
Villefranche-sur-Saône,FR,45.98,4.72,23.0,40,0,2.6,1596065780
Balkhash,KZ,46.84,74.98,19.13,57,0,4.4,1596065780
Itarema,BR,-2.92,-39.92,25.65,78,15,5.98,1596065554
Ankazoabo,MG,-22.28,44.52,14.9,85,0,2.59,1596065781
Tsagan Aman,RU,47.56,46.72,22.78,72,36,1.22,1596065781
Río Cuarto,AR,-33.13,-64.35,12.0,27,0,7.2,1596065750
Jiuquan,CN,39.74,98.52,24.46,32,0,0.47,1596065781
Atar,MR,20.52,-13.05,30.79,35,0,6.97,1596065782
Nyíracsád,HU,47.6,21.97,22.0,94,73,2.02,1596065782
Tromsø,NO,69.65,18.96,19.0,55,97,6.7,1596065782
Saint-Joseph,RE,-21.37,55.62,19.0,82,20,3.1,1596065782
Comodoro Rivadavia,AR,-45.87,-67.5,5.0,60,58,3.6,1596065492
Mackay,AU,-21.15,149.2,20.56,68,0,2.6,1596065783
Pontes e Lacerda,BR,-15.23,-59.34,20.24,57,0,2.11,1596065783
Remontnoye,RU,46.56,43.65,22.0,33,0,4.0,1596065783
Maputo,MZ,-25.97,32.59,16.67,87,0,2.6,1596065784
Coquimbo,CL,-29.95,-71.34,11.0,93,1,2.1,1596065784
Bandarbeyla,SO,9.49,50.81,25.79,73,34,10.86,1596065784
Vagay,RU,57.94,69.02,8.57,83,46,1.04,1596065784
Iwanai,JP,42.97,140.51,25.05,55,0,1.27,1596065785
Catalina Foothills,US,32.3,-110.92,42.22,12,1,4.6,1596065785
Anloga,GH,5.79,0.9,24.0,94,20,4.1,1596065785
Grindavik,IS,63.84,-22.43,10.0,93,90,4.1,1596065786
Mugur-Aksy,RU,50.35,90.5,10.54,69,99,3.7,1596065786
Havelock,US,34.88,-76.9,27.78,89,84,1.34,1596065786
Erkelenz,DE,51.08,6.32,16.11,66,69,0.42,1596065786
Eden,US,36.49,-79.77,32.0,52,90,2.6,1596065787
Lichuan,CN,30.3,108.85,19.83,94,94,1.32,1596065787
Troitsko-Pechorsk,RU,62.71,56.2,8.95,92,0,0.98,1596065787
Port-Gentil,GA,-0.72,8.78,25.0,83,75,6.12,1596065787
Merauke,ID,-8.47,140.33,25.62,78,97,7.1,1596065788
Ouro Preto do Oeste,BR,-10.75,-62.22,26.71,40,10,1.18,1596065787
La Concordia,NI,13.2,-86.17,24.0,78,40,2.37,1596065788
Paraná,AR,-31.73,-60.52,8.33,49,0,2.55,1596065788
Warnes,BO,-17.5,-63.17,19.0,32,75,4.1,1596065789
